employee_id,date,clock_in,lunch_start,lunch_end,clock_out,waiver_signed,issue_reason
E001,2024-07-03,1900-01-01 09:14:00,1900-01-01 14:21:10,1900-01-01 14:51:10,,False,Missing clock_out
E003,2024-07-03,1900-01-01 06:24:00,1900-01-01 10:53:02,1900-01-01 11:23:02,,True,Missing clock_out
E004,2024-07-11,,1900-01-01 14:32:05,,1900-01-01 14:41:00,False,Missing clock_in
E007,2024-07-22,1900-01-01 08:04:00,1900-01-01 13:42:14,1900-01-01 14:12:14,,False,Missing clock_out
E008,2024-07-11,,1900-01-01 11:38:58,1900-01-01 12:08:58,1900-01-01 15:41:00,False,Missing clock_in
E008,2024-07-26,,,1900-01-01 15:41:16,1900-01-01 18:28:00,True,Missing clock_in
E008,2024-07-30,1900-01-01 06:53:00,,,,False,Missing clock_out
E008,2024-07-31,,1900-01-01 12:18:12,,1900-01-01 15:45:00,True,Missing clock_in
E009,2024-07-02,1900-01-01 09:02:00,1900-01-01 14:53:50,1900-01-01 15:23:50,,False,Missing clock_out
E011,2024-07-10,,,1900-01-01 15:20:56,1900-01-01 16:11:00,False,Missing clock_in
E011,2024-07-12,1900-01-01 07:46:00,1900-01-01 12:59:54,1900-01-01 13:29:54,,False,Missing clock_out
E012,2024-07-22,,1900-01-01 12:00:30,1900-01-01 12:30:30,1900-01-01 13:36:00,True,Missing clock_in
E013,2024-07-23,,1900-01-01 11:44:26,1900-01-01 12:14:26,1900-01-01 15:29:00,True,Missing clock_in
E014,2024-07-12,1900-01-01 09:01:00,,1900-01-01 14:22:15,,True,Missing clock_out
E015,2024-07-29,,,,1900-01-01 10:37:00,True,Missing clock_in
E019,2024-07-29,,,,,True,Missing clock_in
E020,2024-07-05,1900-01-01 08:30:00,1900-01-01 12:53:25,,,True,Missing clock_out
